Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Devin Street,3000,Dal@Buf 01:00PM ET,1.638,Dal
WR,Marlon Brown,3000,Pit@Bal 01:00PM ET,2.520,Bal
WR,Chris Matthews,3000,Pit@Bal 01:00PM ET,1.282,Bal
WR,Quincy Enunwa,3000,NE@NYJ 01:00PM ET,4.310,NYJ
RB,Jay Prosch,3000,Hou@Ten 01:00PM ET,0.236,Hou
RB,Jalston Fowler,3000,Hou@Ten 01:00PM ET,1.621,Ten
WR,TJ Jones,3000,SF@Det 01:00PM ET,2.250,Det
WR,Kenbrell Thompkins,3000,NE@NYJ 01:00PM ET,5.360,NYJ
RB,Roosevelt Nix,3000,Pit@Bal 01:00PM ET,0.257,Pit
RB,Andre Williams,3000,NYG@Min 08:30PM ET,2.307,NYG
RB,Rod Smith,3000,Dal@Buf 01:00PM ET,0.233,Dal
WR,Joshua Bellamy,3000,Chi@TB 01:00PM ET,2.607,Chi
WR,Neal Sterling,3000,Jax@NO 04:05PM ET,0.000,Jax
WR,Andrew Turzilli,3000,Hou@Ten 01:00PM ET,2.250,Ten
RB,Juwan Thompson,3000,Cin@Den 08:30PM ET,1.223,Den
RB,Michael Burton,3000,SF@Det 01:00PM ET,1.021,Det
WR,DeAndrew White,3000,SF@Det 01:00PM ET,0.950,SF
WR,Kaelin Clay,3000,Pit@Bal 01:00PM ET,1.200,Bal
WR,Matt Hazel,3000,Ind@Mia 01:00PM ET,0.000,Mia
WR,Keith Mumphery,3000,Hou@Ten 01:00PM ET,1.921,Hou
WR,Justin Hardy,3000,Car@Atl 01:00PM ET,4.214,Atl
WR,J.J. Nelson,3000,GB@Ari 04:25PM ET,6.100,Ari
WR,Kevin Smith,3000,StL@Sea 04:25PM ET,0.920,Sea
WR,Corey Fuller,3000,SF@Det 01:00PM ET,0.883,Det
WR,Geremy Davis,3000,NYG@Min 08:30PM ET,0.410,NYG
WR,Cameron Meredith,3000,Chi@TB 01:00PM ET,2.122,Chi
WR,Chris Hogan,3000,Dal@Buf 01:00PM ET,6.147,Buf
RB,Terrence Magee,3000,Pit@Bal 01:00PM ET,0.567,Bal
RB,Terron Ward,3000,Car@Atl 01:00PM ET,2.764,Atl
RB,David Cobb,3000,Hou@Ten 01:00PM ET,1.100,Ten
RB,Jay Ajayi,3000,Ind@Mia 01:00PM ET,5.743,Mia
WR,Chris Conley,3000,Cle@KC 01:00PM ET,2.764,KC
WR,Quan Bray,3000,Ind@Mia 01:00PM ET,0.000,Ind
RB,Tre Mason,3000,StL@Sea 04:25PM ET,3.682,StL
WR,Sammie Coates,3000,Pit@Bal 01:00PM ET,0.300,Pit
RB,Ka'Deem Carey,3000,Chi@TB 01:00PM ET,2.456,Chi
WR,Tre McBride,3000,Hou@Ten 01:00PM ET,0.000,Ten
WR,Phillip Dorsett,3000,Ind@Mia 01:00PM ET,3.800,Ind
WR,Ty Montgomery,3000,GB@Ari 04:25PM ET,7.000,GB
WR,Marqise Lee,3000,Jax@NO 04:05PM ET,3.175,Jax
WR,Bruce Ellington,3000,SF@Det 01:00PM ET,1.282,SF
RB,Aaron Ripkowski,3000,GB@Ari 04:25PM ET,0.215,GB
WR,Bradley Marquez,3000,StL@Sea 04:25PM ET,1.557,StL
WR,Rashad Greene,3000,Jax@NO 04:05PM ET,6.229,Jax
RB,Akeem Hunt,3000,Hou@Ten 01:00PM ET,2.220,Hou
RB,Raheem Mostert,3000,Cle@KC 01:00PM ET,0.000,Cle
WR,De'Anthony Thomas,3000,Cle@KC 01:00PM ET,4.540,KC
RB,Bishop Sankey,3000,Hou@Ten 01:00PM ET,4.382,Ten
WR,Cody Latimer,3000,Cin@Den 08:30PM ET,1.385,Den
WR,Rannell Hall,3000,Cle@KC 01:00PM ET,0,Cle
WR,Brittan Golden,3000,GB@Ari 04:25PM ET,0.000,Ari
RB,Daryl Richardson,3000,Cle@KC 01:00PM ET,0,Cle
TE,Maxx Williams,3000,Pit@Bal 01:00PM ET,4.158,Bal
WR,Cordarrelle Patterson,3000,NYG@Min 08:30PM ET,1.179,Min
RB,Damien Williams,3000,Ind@Mia 01:00PM ET,2.279,Mia
RB,John Crockett,3000,GB@Ari 04:25PM ET,2.200,GB
WR,Lucky Whitehead,3000,Dal@Buf 01:00PM ET,1.408,Dal
WR,Jaelen Strong,3000,Hou@Ten 01:00PM ET,4.088,Hou
WR,Adam Thielen,3000,NYG@Min 08:30PM ET,1.750,Min
WR,Mario Alford,3000,Cin@Den 08:30PM ET,2.500,Cin
WR,Taylor Gabriel,3000,Cle@KC 01:00PM ET,4.827,Cle
WR,Jeff Janis,3000,GB@Ari 04:25PM ET,0.707,GB
WR,Donteea Dye,3000,Chi@TB 01:00PM ET,2.575,TB
TE,Ed Dickson,2900,Car@Atl 01:00PM ET,3.221,Car
TE,Crockett Gillmore,2900,Pit@Bal 01:00PM ET,10.120,Bal
TE,Eric Ebron,2900,SF@Det 01:00PM ET,9.025,Det
DST,Texans ,2800,Hou@Ten 01:00PM ET,7.143,Hou
DST,Lions ,2800,SF@Det 01:00PM ET,5.643,Det
DST,Jets ,2800,NE@NYJ 01:00PM ET,7.643,NYJ
TE,Jared Cook,2800,StL@Sea 04:25PM ET,6.186,StL
DST,Rams ,2700,StL@Sea 04:25PM ET,8.357,StL
DST,Dolphins ,2700,Ind@Mia 01:00PM ET,6.214,Mia
TE,Coby Fleener,2700,Ind@Mia 01:00PM ET,7.000,Ind
DST,Packers ,2500,GB@Ari 04:25PM ET,7.643,GB
DST,Vikings ,2500,NYG@Min 08:30PM ET,7.500,Min
DST,Buccaneers ,2500,Chi@TB 01:00PM ET,7.071,TB
TE,Mike Leach,2500,GB@Ari 04:25PM ET,0.000,Ari
TE,Owen Daniels,2500,Cin@Den 08:30PM ET,7.443,Den
TE,Craig Stevens,2500,Hou@Ten 01:00PM ET,2.450,Ten
TE,Marcedes Lewis,2500,Jax@NO 04:05PM ET,2.200,Jax
TE,Matt Spaeth,2500,Pit@Bal 01:00PM ET,0.273,Pit
TE,Clark Harris,2500,Cin@Den 08:30PM ET,0.000,Cin
TE,Anthony Fasano,2500,Hou@Ten 01:00PM ET,4.486,Ten
TE,Kellen Davis,2500,NE@NYJ 01:00PM ET,0.771,NYJ
TE,Brandon Myers,2500,Chi@TB 01:00PM ET,2.245,TB
TE,Darren Fells,2500,GB@Ari 04:25PM ET,5.700,Ari
TE,Bear Pascoe,2500,SF@Det 01:00PM ET,0.000,Det
TE,Tony Moeaki,2500,Car@Atl 01:00PM ET,0.233,Atl
TE,Clay Harbor,2500,Jax@NO 04:05PM ET,2.338,Jax
TE,Chase Coffman,2500,StL@Sea 04:25PM ET,8.200,Sea
TE,Garrett Graham,2500,Hou@Ten 01:00PM ET,1.625,Hou
TE,Andrew DePaola,2500,Chi@TB 01:00PM ET,0.000,TB
TE,Anthony McCoy,2500,StL@Sea 04:25PM ET,0.000,Sea
TE,Jim Dray,2500,Cle@KC 01:00PM ET,0.664,Cle
