QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,T.J. Yeldon (9758307),T.J. Yeldon,9758307,RB,4000,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,QB,Bryce Petty (9758337),Bryce Petty,9758337,QB,4000,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,QB,Christian Hackenberg (9758338),Christian Hackenberg,9758338,QB,4000,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,RB,Bilal Powell (9758339),Bilal Powell,9758339,RB,4000,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,QB,Ryan Griffin (9758370),Ryan Griffin,9758370,QB,4000,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,RB,Jacquizz Rodgers (9758373),Jacquizz Rodgers,9758373,RB,4000,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,QB,Jeff Driskel (9758400),Jeff Driskel,9758400,QB,4000,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,QB,Brandon Weeden (9758436),Brandon Weeden,9758436,QB,4000,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,WR,Corey Davis (9758447),Corey Davis,9758447,WR,4000,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,QB,Kyle Sloter (9758469),Kyle Sloter,9758469,QB,4000,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,RB,Latavius Murray (9758472),Latavius Murray,9758472,RB,4000,MIN@WAS 11/12/2017 01:00PM ET,MIN,
