"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"WR","Deonte Thompson",3000,"Ind@Buf 01:00PM ET",0.000
"RB","Henry Hynoski",3000,"NYG@Dal 08:30PM ET",0.081
"WR","Denarius Moore",3000,"Cin@Oak 04:25PM ET",2.260
"WR","Leonard Hankerson",3000,"Phi@Atl 07:10PM ET",0.000
"WR","Fred Williams",3000,"KC@Hou 01:00PM ET",0
"WR","Reggie Dunn",3000,"NYG@Dal 08:30PM ET",0
"WR","G.J. Kinne",3000,"Phi@Atl 07:10PM ET",0
"WR","Dontrelle Inman",3000,"Det@SD 04:05PM ET",3.971
"RB","Jeremy Stewart",3000,"Bal@Den 04:25PM ET",0.314
"RB","Joe Banyard",3000,"Min@SF 10:20PM ET",1.600
"WR","Jeremy Kerley",3000,"Cle@NYJ 01:00PM ET",5.844
"RB","Robert Hughes",3000,"NO@Ari 04:05PM ET",1.453
"WR","Nathan Palmer",3000,"Bal@Den 04:25PM ET",0
"RB","Anthony Sherman",3000,"KC@Hou 01:00PM ET",1.494
"WR","Julian Talley",3000,"NYG@Dal 08:30PM ET",0.000
"WR","Mike Brown",3000,"Car@Jax 01:00PM ET",2.960
